This be rotation
60
398
0.778984 -0 0.389977 
0.778124 0 0.384827 
0.777155 0 0.379601 
0.776077 0 0.374302 
0.774895 0 0.36893 
0.773608 0 0.363489 
0.772219 0 0.357978 
0.77073 0 0.3524 
0.769142 0 0.346757 
0.767458 0 0.34105 
0.765678 0 0.335281 
0.763806 0 0.329451 
0.761842 0 0.323563 
0.759789 0 0.317618 
0.757647 0 0.311617 
0.75542 0 0.305562 
0.753109 0 0.299456 
0.750716 0 0.293298 
0.748242 0 0.287093 
0.745689 0 0.28084 
0.743059 0 0.274541 
0.740354 0 0.268199 
0.737576 0 0.261815 
0.734726 0 0.255391 
0.731807 0 0.248928 
0.728819 0 0.242427 
0.725766 0 0.235892 
0.722648 0 0.229323 
0.719467 0 0.222721 
0.716226 0 0.21609 
0.712926 0 0.209429 
0.709569 0 0.202742 
0.706156 0 0.196029 
0.70269 0 0.189293 
0.699172 0 0.182534 
0.695604 0 0.175756 
0.691988 0 0.168958 
0.688326 0 0.162144 
0.684618 0 0.155314 
0.680869 0 0.148471 
0.677078 0 0.141615 
0.673248 0 0.134749 
0.669381 0 0.127875 
0.665478 0 0.120994 
0.661542 0 0.114107 
0.657573 0 0.107217 
0.653575 0 0.100325 
0.649547 0 0.0934322 
0.645494 0 0.0865411 
0.641415 0 0.0796532 
0.637314 0 0.0727699 
0.633192 0 0.0658929 
0.62905 0 0.059024 
0.62489 0 0.0521649 
0.620715 0 0.0453172 
0.616526 0 0.0384826 
0.612325 0 0.0316627 
0.608113 0 0.0248593 
0.603893 0 0.0180739 
0.599666 0 0.0113083 
0.595434 0 0.00456413 
0.591198 0 -0.0021569 
0.586962 0 -0.00885316 
0.582725 0 -0.015523 
0.578491 0 -0.0221647 
0.574262 0 -0.0287766 
0.570037 0 -0.0353571 
0.565821 0 -0.0419045 
0.561614 0 -0.0484169 
0.557418 0 -0.0548931 
0.553235 0 -0.0613309 
0.549067 0 -0.0677291 
0.544915 0 -0.0740857 
0.540782 0 -0.0803991 
0.53667 0 -0.0866678 
0.532579 0 -0.0928899 
0.528512 0 -0.099064 
0.52447 0 -0.105188 
0.520456 0 -0.111261 
0.516472 0 -0.11728 
0.512518 0 -0.123245 
0.508597 0 -0.129153 
0.50471 0 -0.135003 
0.50086 0 -0.140793 
0.497049 0 -0.146521 
0.493277 0 -0.152186 
0.489547 0 -0.157787 
0.48586 0 -0.163321 
0.482219 0 -0.168786 
0.478626 0 -0.174182 
0.475081 0 -0.179506 
0.471587 0 -0.184757 
0.468145 0 -0.189933 
0.464758 0 -0.195033 
0.461428 0 -0.200054 
0.458155 0 -0.204996 
0.454942 0 -0.209855 
0.45179 0 -0.214632 
0.448702 0 -0.219323 
0.445679 0 -0.223928 
0.442723 0 -0.228445 
0.442723 -0 -0.228445 
0.439805 0 -0.232855 
0.436896 0 -0.237143 
0.433994 0 -0.24131 
0.431102 0 -0.245359 
0.428219 0 -0.249291 
0.425345 0 -0.253111 
0.422482 0 -0.256819 
0.419628 0 -0.260417 
0.416785 0 -0.263909 
0.413953 0 -0.267296 
0.411133 0 -0.27058 
0.408324 0 -0.273764 
0.405527 0 -0.27685 
0.402742 0 -0.27984 
0.39997 0 -0.282737 
0.397211 0 -0.285542 
0.394466 0 -0.288258 
0.391734 0 -0.290887 
0.389016 0 -0.293431 
0.386313 0 -0.295893 
0.383624 0 -0.298275 
0.380951 0 -0.300578 
0.378293 0 -0.302806 
0.375651 0 -0.30496 
0.373025 0 -0.307043 
0.370416 0 -0.309057 
0.367823 0 -0.311004 
0.365248 0 -0.312887 
0.36269 0 -0.314707 
0.360151 0 -0.316467 
0.357629 0 -0.318169 
0.355126 0 -0.319815 
0.352643 0 -0.321407 
0.350178 0 -0.322949 
0.347733 0 -0.324441 
0.345308 0 -0.325887 
0.342904 0 -0.327288 
0.34052 0 -0.328647 
0.338157 0 -0.329966 
0.335816 0 -0.331246 
0.333497 0 -0.332492 
0.331199 0 -0.333703 
0.328924 0 -0.334884 
0.326672 0 -0.336036 
0.324443 0 -0.337161 
0.322238 0 -0.338261 
0.320056 0 -0.339339 
0.317899 0 -0.340397 
0.315766 0 -0.341438 
0.313659 0 -0.342462 
0.311576 0 -0.343474 
0.309519 0 -0.344474 
0.307488 0 -0.345465 
0.305483 0 -0.34645 
0.303505 0 -0.34743 
0.301554 0 -0.348408 
0.299631 0 -0.349387 
0.297735 0 -0.350367 
0.295867 0 -0.351352 
0.294027 0 -0.352344 
0.292216 0 -0.353344 
0.290435 0 -0.354356 
0.288682 0 -0.355381 
0.28696 0 -0.356422 
0.285268 0 -0.357481 
0.283606 0 -0.358559 
0.281975 0 -0.35966 
0.280375 0 -0.360786 
0.278807 0 -0.361939 
0.277271 0 -0.36312 
0.275767 0 -0.364333 
0.274295 0 -0.365579 
0.272857 0 -0.366861 
0.271452 0 -0.368181 
0.27008 0 -0.369541 
0.268742 0 -0.370943 
0.267439 0 -0.37239 
0.266171 0 -0.373884 
0.264937 0 -0.375427 
0.263739 0 -0.377021 
0.262577 0 -0.378669 
0.26145 0 -0.380373 
0.26036 0 -0.382134 
0.259307 0 -0.383956 
0.258291 0 -0.38584 
0.257313 0 -0.387789 
0.256372 0 -0.389805 
0.25547 0 -0.391891 
0.254606 0 -0.394047 
0.253781 0 -0.396277 
0.252995 0 -0.398583 
0.252249 0 -0.400967 
0.251543 0 -0.403431 
0.250876 0 -0.405978 
0.250251 0 -0.40861 
0.249667 0 -0.411328 
0.249123 0 -0.414136 
0.248622 0 -0.417035 
0.248163 0 -0.420028 
0.247745 0 -0.423117 
0.247746 -0 -0.423117 
0.247402 0 -0.426279 
0.247163 0 -0.42949 
0.247024 0 -0.432748 
0.246985 0 -0.436053 
0.247042 0 -0.439403 
0.247195 0 -0.442797 
0.247439 0 -0.446234 
0.247775 0 -0.449713 
0.248198 0 -0.453233 
0.248707 0 -0.456792 
0.2493 0 -0.46039 
0.249975 0 -0.464025 
0.250729 0 -0.467696 
0.25156 0 -0.471403 
